date,admin1,admin2,market,latitude,longitude,category,commodity,unit,price,usdprice
2012-11-15,,,National Average,,,cereals and tubers,Bread (pita),KG,0.17,0.2324
2012-11-15,,,National Average,,,cereals and tubers,Potatoes,KG,0.67,0.9407
2012-11-15,,,National Average,,,cereals and tubers,Rice (imported),KG,1.1,1.5505
2012-11-15,,,National Average,,,"meat, fish and eggs",Eggs,2 KG,3.44,4.8402
2012-11-15,,,National Average,,,"meat, fish and eggs",Meat (beef),KG,9.28,13.0644
2012-11-15,,,National Average,,,"meat, fish and eggs",Meat (chicken),KG,2.25,3.1658
2012-11-15,,,National Average,,,"meat, fish and eggs","Meat (chicken, whole)",KG,1.54,2.1729
2012-11-15,,,National Average,,,"meat, fish and eggs",Meat (lamb),KG,11.18,15.7429
2012-11-15,,,National Average,,,milk and dairy,"Cheese (white, boiled)",KG,4.26,6.0006
2012-11-15,,,National Average,,,milk and dairy,Milk (pasteurized),L,1.17,1.6448
2012-11-15,,,National Average,,,miscellaneous food,Sugar,KG,0.8,1.1224
2012-11-15,,,National Average,,,oil and fats,Oil (olive),KG,5.3,7.4638
2012-11-15,,,National Average,,,oil and fats,Oil (vegetable),1.8 L,1.72,2.425
2012-11-15,,,National Average,,,pulses and nuts,"Beans (fava, dry)",KG,1.49,2.0955
2012-11-15,,,National Average,,,pulses and nuts,Chickpeas,KG,1.73,2.4292
2012-11-15,,,National Average,,,pulses and nuts,Lentils,KG,1.21,1.704
2012-11-15,,,National Average,,,pulses and nuts,Pulses,KG,1.5,2.118
2012-11-15,,,National Average,,,vegetables and fruits,Apples (red),KG,1.9,2.6813
2012-11-15,,,National Average,,,vegetables and fruits,Bananas,KG,0.85,1.2012
2012-11-15,,,National Average,,,vegetables and fruits,Cucumbers,KG,0.59,0.8252
2012-11-15,,,National Average,,,vegetables and fruits,Garlic,KG,2.53,3.5601
2012-11-15,,,National Average,,,vegetables and fruits,Onions,KG,0.6,0.8435
2012-11-15,,,National Average,,,vegetables and fruits,Oranges (big size),KG,1.63,2.2997
2012-11-15,,,National Average,,,vegetables and fruits,Tomatoes,KG,0.48,0.6802
2012-12-15,,,National Average,,,cereals and tubers,Bread (pita),KG,0.17,0.2324
2012-12-15,,,National Average,,,cereals and tubers,Potatoes,KG,0.65,0.9196
2012-12-15,,,National Average,,,cereals and tubers,Rice (imported),KG,1.1,1.5505
2012-12-15,,,National Average,,,"meat, fish and eggs",Eggs,2 KG,3.47,4.8867
2012-12-15,,,National Average,,,"meat, fish and eggs",Meat (beef),KG,9.27,13.056
2012-12-15,,,National Average,,,"meat, fish and eggs",Meat (chicken),KG,2.25,3.1658
2012-12-15,,,National Average,,,"meat, fish and eggs","Meat (chicken, whole)",KG,1.59,2.2434
2012-12-15,,,National Average,,,"meat, fish and eggs",Meat (lamb),KG,11.17,15.7359
2012-12-15,,,National Average,,,milk and dairy,"Cheese (white, boiled)",KG,4.26,6.0006
2012-12-15,,,National Average,,,milk and dairy,Milk (pasteurized),L,1.17,1.6448
2012-12-15,,,National Average,,,miscellaneous food,Sugar,KG,0.8,1.1224
2012-12-15,,,National Average,,,oil and fats,Oil (olive),KG,5.3,7.4638
2012-12-15,,,National Average,,,oil and fats,Oil (vegetable),1.8 L,1.72,2.425
2012-12-15,,,National Average,,,pulses and nuts,"Beans (fava, dry)",KG,1.49,2.0955
2012-12-15,,,National Average,,,pulses and nuts,Chickpeas,KG,1.73,2.4292
2012-12-15,,,National Average,,,pulses and nuts,Lentils,KG,1.21,1.704
